molid,smiles,n_pka,datasets,has_exclude,drug_like_pass,filter_reason,mw,logp,hbd,hba,rotb,tpsa,natoms
mol26474,Clc1cc2nc[nH]c2cc1Cl,1,ibond_AttenGpKa,False,True,pass,187.03,2.87,1.0,1.0,0.0,28.68,11.0
mol26480,Cc1cc2nc(C(C)C)[nH]c2cc1C,1,ibond_AttenGpKa,False,True,pass,188.27,3.3,1.0,1.0,1.0,28.68,14.0
mol26483,CNCCc1nc2ccc(C)cc2[nH]1,1,ibond_AttenGpKa,False,True,pass,189.26,1.63,2.0,2.0,3.0,40.71,14.0
mol26487,COc1ccc2[nH]c(C(C)O)nc2c1,1,ibond_AttenGpKa,False,True,pass,192.22,1.62,2.0,3.0,2.0,58.14,14.0
mol26488,COc1c([N+](=O)[O-])ccc2[nH]cnc12,1,ibond_AttenGpKa,False,True,pass,193.16,1.48,1.0,4.0,2.0,81.05,14.0
mol26489,Cc1nc2c(O)c([N+](=O)[O-])ccc2[nH]1,1,ibond_AttenGpKa,False,True,pass,193.16,1.49,2.0,4.0,1.0,92.05,14.0
mol26490,Cc1nc2c(O)cc([N+](=O)[O-])cc2[nH]1,1,ibond_AttenGpKa,False,True,pass,193.16,1.49,2.0,4.0,1.0,92.05,14.0
mol26492,COn1nnc2ccc([N+](=O)[O-])cc21,1,ibond_AttenGpKa,False,True,pass,194.15,0.4,0.0,5.0,2.0,83.08,14.0
mol26493,COn1nnc2c([N+](=O)[O-])cccc21,1,ibond_AttenGpKa,False,True,pass,194.15,0.4,0.0,5.0,2.0,83.08,14.0
mol26495,C[n+]1nn(O)c2cccc([N+](=O)[O-])c21,1,ibond_AttenGpKa,False,True,pass,195.16,0.01,1.0,4.0,1.0,85.07,14.0
mol26496,C[n+]1nn(O)c2cc([N+](=O)[O-])ccc21,1,ibond_AttenGpKa,False,True,pass,195.16,0.01,1.0,4.0,1.0,85.07,14.0
mol26497,c1ccc(-c2noc3ccccc23)cc1,1,ibond_AttenGpKa,False,True,pass,195.22,3.49,0.0,2.0,1.0,26.03,15.0
mol26498,Brc1n[nH]c2ccccc12,1,ibond_AttenGpKa,False,True,pass,197.04,2.33,1.0,1.0,0.0,28.68,10.0
mol26499,CC(O)c1nc2cc(Cl)ccc2[nH]1,1,ibond_AttenGpKa,False,True,pass,196.64,2.27,2.0,2.0,1.0,48.91,13.0
