molid,smiles,n_pka,datasets,has_exclude,drug_like_pass,filter_reason,mw,logp,hbd,hba,rotb,tpsa,natoms
mol5326,N[C@@H](CC(=O)O)C(=O)O,82,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,133.1,-1.13,3.0,3.0,3.0,100.62,9.0
mol5479,N[C@@H](Cc1ccc(O)cc1)C(=O)O,64,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,181.19,0.35,3.0,3.0,3.0,83.55,13.0
mol1,NC(Cc1ccccc1)C(=O)O,56,QSARtoolbox|OCHEM|Settimo|Datawarrior,False,True,pass,165.19,0.64,2.0,2.0,3.0,63.32,12.0
mol3089,NCCNCCN,56,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior,False,True,pass,103.17,-1.51,3.0,3.0,4.0,64.07,7.0
mol5470,N[C@@H](CO)C(=O)O,54,IUPAC_digitized|QSARtoolbox|OCHEM,False,True,pass,105.09,-1.61,3.0,3.0,2.0,83.55,7.0
mol9131,O=C(O)CC(O)C(=O)O,53,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,134.09,-1.09,3.0,3.0,3.0,94.83,9.0
mol754,CC(C)[C@H](N)C(=O)O,52,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM,False,True,pass,117.15,0.05,2.0,2.0,2.0,63.32,8.0
mol5268,CCC(N)C(=O)O,49,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior,False,True,pass,103.12,-0.19,2.0,2.0,2.0,63.32,7.0
mol3111,NCCNCCNCCN,46,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,146.24,-1.92,4.0,4.0,7.0,76.1,10.0
mol9762,NC(Cc1c[nH]cn1)C(=O)O,46,IUPAC_digitized|QSARtoolbox|OCHEM|Datawarrior,False,True,pass,155.16,-0.64,3.0,3.0,3.0,92.0,11.0
mol870,OCCNCCO,45,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,105.14,-1.44,3.0,3.0,4.0,52.49,7.0
mol888,O=C(O)c1cc(O)c(O)c(O)c1,45,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM,False,True,pass,170.12,0.5,4.0,4.0,1.0,97.99,12.0
mol9215,O=C(O)CNCC(=O)O,43,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,133.1,-1.25,3.0,3.0,4.0,86.63,9.0
mol5278,NCCCCCC(=O)O,42,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,131.18,0.59,2.0,2.0,5.0,63.32,9.0
mol5279,CC(C)(N)C(=O)O,42,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior,False,True,pass,103.12,-0.19,2.0,2.0,1.0,63.32,7.0
mol26114,O=S(=O)(O)c1ccc(O)c2ncccc12,41,QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,225.22,1.19,2.0,4.0,1.0,87.49,15.0
mol5419,CSCC[C@H](N)C(=O)O,41,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,149.22,0.15,2.0,3.0,4.0,63.32,9.0
mol90,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,40,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Settimo|Baltruschat_chembl_pka,False,True,pass,318.87,4.89,0.0,3.0,4.0,6.48,21.0
mol3811,ON=Cc1ccccn1,39,IUPAC_digitized|QSARtoolbox|OOAs_and_NBs|OCHEM,False,True,pass,122.13,0.89,1.0,3.0,1.0,45.48,9.0
mol1785,Cc1cccc(C(=O)O)c1O,38,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,152.15,1.4,2.0,2.0,1.0,57.53,11.0
mol1836,NCCc1ccc(O)cc1,38,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,137.18,0.89,2.0,2.0,2.0,46.25,10.0
mol61,CCN(CC)CC(=O)Nc1c(C)cccc1C,38,Hunt|QSARtoolbox|ibond_AttenGpKa|OOAs_and_NBs|OCHEM|Settimo|Jensen|Datawarrior|Baltruschat_chembl_pka,False,True,pass,234.34,2.58,1.0,2.0,5.0,32.34,17.0
mol8913,O=P(O)(O)CP(=O)(O)O,38,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,176.0,-0.7,4.0,2.0,2.0,115.06,9.0
mol3315,Nc1cccc(N)c1,36,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,108.14,0.85,2.0,2.0,0.0,52.04,8.0
mol5365,O=C(O)CN(CCO)CCO,36,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,163.17,-1.64,3.0,4.0,6.0,81.0,11.0
mol66,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,36,Hunt|QSARtoolbox|IUPAC_digitized|OCHEM|Settimo|Jensen|Datawarrior|Baltruschat_chembl_pka,False,True,pass,299.37,1.5,1.0,4.0,1.0,41.93,22.0
mol2545,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,34,Hunt|IUPAC_digitized|QSARtoolbox|OCHEM,False,True,pass,176.12,-1.41,4.0,6.0,2.0,107.22,12.0
mol3375,Nc1ccc(S(N)(=O)=O)cc1,34,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior|Baltruschat_chembl_pka,False,True,pass,172.21,-0.08,2.0,3.0,1.0,86.18,11.0
mol5320,NC(=O)C[C@H](N)C(=O)O,34,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,132.12,-1.73,3.0,3.0,3.0,106.41,9.0
mol28,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,33,QSARtoolbox|ibond_AttenGpKa|OCHEM|Settimo|Datawarrior|Baltruschat_chembl_pka,False,True,pass,330.75,1.89,3.0,5.0,5.0,122.63,21.0
mol48,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,33,Hunt|QSARtoolbox|ibond_AttenGpKa|OCHEM|Settimo|Baltruschat_chembl_pka,False,True,pass,319.34,1.27,2.0,4.0,3.0,74.57,23.0
mol5299,NCCCCC(=O)O,33,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior,False,True,pass,117.15,0.2,2.0,2.0,4.0,63.32,8.0
mol1879,Cc1ccc2cccc(O)c2n1,32,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,159.19,2.25,1.0,2.0,0.0,33.12,12.0
mol4422,O=S(=O)(O)c1cc(I)c(O)c2ncccc12,31,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,351.12,1.79,2.0,4.0,1.0,87.49,16.0
mol11,O=C(O)COc1ccc(Cl)cc1Cl,30,Hunt|QSARtoolbox|AvLiLuMoVe|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Settimo,False,True,pass,221.04,2.46,1.0,2.0,3.0,46.53,13.0
mol12485,CC(C)C(N)C(=O)O,30,QSARtoolbox|OCHEM|Datawarrior,False,True,pass,117.15,0.05,2.0,2.0,2.0,63.32,8.0
mol3245,NCCCCCCN,30,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,116.21,0.46,2.0,2.0,5.0,52.04,8.0
mol3924,CN1CC(=O)NC1=N,30,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Baltruschat_chembl_pka,False,True,pass,113.12,-1.02,2.0,2.0,0.0,56.19,8.0
mol82,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,30,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Settimo|Datawarrior|Baltruschat_chembl_pka,False,True,pass,284.43,4.24,0.0,3.0,3.0,6.48,20.0
mol1111,NCCc1ccc(O)c(O)c1,29,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior|Baltruschat_chembl_pka,False,True,pass,153.18,0.6,3.0,3.0,2.0,66.48,11.0
mol112,NC(CC(=O)O)C(=O)O,29,QSARtoolbox|ibond_AttenGpKa|OCHEM|Settimo|Datawarrior,False,True,pass,133.1,-1.13,3.0,3.0,3.0,100.62,9.0
mol5,NC(Cc1c[nH]c2ccccc12)C(=O)O,29,QSARtoolbox|OOAs_and_NBs|OCHEM|Settimo|Datawarrior,False,True,pass,204.23,1.12,3.0,2.0,3.0,79.11,15.0
mol7,CC(C)CC(N)C(=O)O,29,QSARtoolbox|OCHEM|Settimo|Datawarrior,False,True,pass,131.18,0.44,2.0,2.0,3.0,63.32,9.0
mol83,CCN(CC)CCOC(=O)c1ccc(N)cc1,29,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Settimo|Jensen|Baltruschat_chembl_pka,False,True,pass,236.31,1.77,1.0,4.0,6.0,55.56,17.0
mol11624,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,28,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Baltruschat_chembl_pka,False,True,pass,226.28,1.18,2.0,3.0,4.0,75.27,16.0
mol39,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,28,Hunt|QSARtoolbox|ibond_AttenGpKa|OOAs_and_NBs|OCHEM|Settimo|Baltruschat_chembl_pka,False,True,pass,357.79,3.93,1.0,3.0,4.0,68.53,25.0
mol755,CC(C)(C(=O)O)C(=O)O,28,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM,False,True,pass,132.11,0.18,2.0,2.0,2.0,74.6,9.0
mol9130,CC(C(=O)O)C(=O)O,28,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM,False,True,pass,118.09,-0.21,2.0,2.0,2.0,74.6,8.0
mol74,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,27,Hunt|QSARtoolbox|ibond_AttenGpKa|OOAs_and_NBs|OCHEM|Settimo|Baltruschat_chembl_pka,False,True,pass,375.87,4.43,1.0,3.0,6.0,40.54,26.0
mol9778,COc1ccc(C(C(=O)O)N(CC(=O)O)CC(=O)O)cc1,27,IUPAC_digitized,False,True,pass,297.26,0.29,3.0,5.0,8.0,124.37,21.0
mol1015,Nc1cc(Br)cc(Br)c1,26,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior,False,True,pass,250.92,2.79,1.0,1.0,0.0,26.02,9.0
mol10404,COc1cc(C=O)ccc1O,26,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,152.15,1.21,1.0,3.0,2.0,46.53,11.0
mol22545,O=C(O)[C@H](O)[C@@H](O)C(=O)O,26,QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,150.09,-2.12,4.0,4.0,3.0,115.06,10.0
mol2336,NC1(C(=O)O)CCCCC1,26,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior,False,True,pass,143.19,0.73,2.0,2.0,1.0,63.32,10.0
mol2550,CCOc1cccc(O)c1,26,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM,False,True,pass,138.17,1.79,1.0,2.0,2.0,29.46,10.0
mol4438,Sc1cccc2cccnc12,26,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior,False,True,pass,161.23,2.52,1.0,2.0,0.0,12.89,11.0
mol133,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,25,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Settimo|Datawarrior|Baltruschat_chembl_pka,False,True,pass,274.8,3.82,0.0,2.0,5.0,16.13,19.0
mol15210,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,25,QSARtoolbox|ibond_AttenGpKa|OCHEM|Datawarrior|Baltruschat_chembl_pka,False,True,pass,297.75,-0.35,3.0,5.0,1.0,118.36,17.0
mol21786,O=C(O)C=CC(=O)O,25,QSARtoolbox|OOAs_and_NBs|OCHEM,False,True,pass,116.07,-0.29,2.0,2.0,2.0,74.6,8.0
mol29403,O=C(O)CN(CC(=O)O)CC(=O)O,25,QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,191.14,-1.46,3.0,4.0,6.0,115.14,13.0
mol3102,NCCNCCO,25,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior,False,True,pass,104.15,-1.47,3.0,3.0,4.0,58.28,7.0
mol466,O=C(O)COc1ccc(Cl)cc1,25,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM,False,True,pass,186.59,1.8,1.0,2.0,3.0,46.53,12.0
mol6635,NCCc1nc(I)[nH]c1I,25,IUPAC_digitized|OCHEM,False,True,pass,362.94,1.12,2.0,2.0,2.0,54.7,10.0
mol9614,Oc1cc(Br)cc(Br)c1,25,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,251.91,2.92,1.0,1.0,0.0,20.23,9.0
mol1742,NCCc1ccccn1,24,Hunt|QSARtoolbox|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior|Baltruschat_chembl_pka,False,True,pass,122.17,0.58,1.0,2.0,2.0,38.91,9.0
mol5422,CCCC[C@H](N)C(=O)O,24,IUPAC_digitized|QSARtoolbox|ibond_AttenGpKa,False,True,pass,131.18,0.59,2.0,2.0,4.0,63.32,9.0
mol9313,C=C(CC(=O)O)C(=O)O,24,IUPAC_digitized|QSARtoolbox|ibond_AttenGpKa,False,True,pass,130.1,0.1,2.0,2.0,3.0,74.6,9.0
mol11174,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,23,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Baltruschat_chembl_pka,False,True,pass,254.15,0.48,4.0,4.0,4.0,149.2,18.0
mol126,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,23,ibond_AttenGpKa|OCHEM|Settimo|Baltruschat_chembl_pka,False,True,pass,225.29,1.52,4.0,4.0,3.0,72.72,16.0
mol3136,NC(=NO)C(N)=NO,23,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior,False,True,pass,118.1,-1.52,4.0,4.0,0.0,117.22,8.0
mol3345,Nc1c(O)cccc1O,23,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior,False,True,pass,125.13,0.68,3.0,3.0,0.0,66.48,9.0
mol587,CNC(=NCCSCc1[nH]cnc1C)NC#N,23,Hunt|QSARtoolbox|ibond_AttenGpKa|OOAs_and_NBs|OCHEM|Jensen|Baltruschat_chembl_pka,False,True,pass,252.35,0.6,3.0,4.0,5.0,88.89,17.0
mol6636,NCCc1nc[nH]c1I,23,IUPAC_digitized|OCHEM,False,True,pass,237.04,0.52,2.0,2.0,2.0,54.7,9.0
mol860,CCN(CC)CCN(CC)CC,23,Hunt|QSARtoolbox|IUPAC_digitized|OCHEM|Datawarrior,False,True,pass,172.32,1.67,0.0,2.0,7.0,6.48,12.0
mol10014,CC(C)(CC(=O)O)CC(=O)O,22,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,160.17,0.96,2.0,2.0,4.0,74.6,11.0
mol10904,COc1cc(C(=O)O)cc(OC)c1O,22,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,198.17,1.11,2.0,4.0,3.0,75.99,14.0
mol123,NC12CC3CC(CC(C3)C1)C2,22,Hunt|QSARtoolbox|IUPAC_digitized|OCHEM|Settimo|Baltruschat_chembl_pka,False,True,pass,151.25,1.91,1.0,1.0,0.0,26.02,11.0
mol3344,Nc1ccc(O)cc1O,22,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior,False,True,pass,125.13,0.68,3.0,3.0,0.0,66.48,9.0
mol5366,CCCCNCC(=O)O,22,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior,False,True,pass,131.17,0.46,2.0,2.0,5.0,49.33,9.0
mol5832,NCCNCCNCCNCCN,22,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,189.31,-2.33,5.0,5.0,10.0,88.13,13.0
mol871,CN(CCO)CCO,22,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,119.16,-1.1,2.0,3.0,4.0,43.7,8.0
mol9,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,22,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Settimo,False,True,pass,349.41,0.32,3.0,5.0,4.0,112.73,24.0
mol9195,O=C(O)CC(S)C(=O)O,22,IUPAC_digitized|QSARtoolbox|ibond_AttenGpKa,False,True,pass,150.16,-0.16,3.0,3.0,3.0,74.6,9.0
mol9196,O=C(O)CSCC(=O)O,22,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,150.16,-0.11,2.0,3.0,4.0,74.6,9.0
mol9967,Cc1cc(O)ccc1O,22,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior,False,True,pass,124.14,1.41,2.0,2.0,0.0,40.46,9.0
mol12602,Cc1ncc(CO)c(CN)c1O,21,QSARtoolbox|OCHEM|Datawarrior|ibond_AttenGpKa,False,True,pass,168.2,0.05,3.0,4.0,2.0,79.37,12.0
mol1781,O=Cc1ccccc1O,21,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior|Baltruschat_chembl_pka,False,True,pass,122.12,1.2,1.0,2.0,1.0,37.3,9.0
mol1790,O=C(O)c1cccc([N+](=O)[O-])c1O,21,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,183.12,1.0,2.0,4.0,2.0,100.67,13.0
mol1826,CC(C)(O)C(=O)O,21,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,104.1,-0.16,2.0,2.0,1.0,57.53,7.0
mol1860,CC(=O)CCC(=O)O,21,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,116.12,0.44,1.0,2.0,3.0,54.37,8.0
mol345,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,21,Hunt|OCHEM|Settimo|Baltruschat_chembl_pka,False,True,pass,361.37,1.54,1.0,5.0,2.0,75.01,26.0
mol3815,ON=Cc1ccncc1,21,IUPAC_digitized|QSARtoolbox|OOAs_and_NBs|OCHEM,False,True,pass,122.13,0.89,1.0,3.0,1.0,45.48,9.0
mol4,NC(Cc1ccc(O)c(O)c1)C(=O)O,21,QSARtoolbox|OCHEM|Settimo,False,True,pass,197.19,0.05,4.0,4.0,3.0,103.78,14.0
mol60,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,21,ibond_AttenGpKa|OCHEM|Settimo|Baltruschat_chembl_pka,False,True,pass,326.83,3.72,1.0,4.0,0.0,30.87,23.0
mol674,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,21,Hunt|QSARtoolbox|OCHEM|Baltruschat_chembl_pka,False,True,pass,307.33,-2.21,6.0,6.0,9.0,158.82,20.0
mol7718,CC(=O)c1ccc(O)c2ncccc12,21,QSARtoolbox|IUPAC_digitized|OCHEM|Datawarrior|Baltruschat_chembl_pka,False,True,pass,187.2,2.14,1.0,3.0,1.0,50.19,14.0
mol8949,O=C(NO)C(=O)NO,21,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,120.06,-2.0,4.0,4.0,0.0,98.66,8.0
mol9118,O=c1c(O)c(O)c1=O,21,IUPAC_digitized|QSARtoolbox|ibond_AttenGpKa,False,True,pass,114.06,-1.31,2.0,4.0,0.0,74.6,8.0
mol9432,CN(CC(=O)O)CC(=O)O,21,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,147.13,-0.91,2.0,3.0,4.0,77.84,10.0
mol9806,O=C(O)CN(CCO)CC(=O)O,21,IUPAC_digitized|QSARtoolbox|ibond_AttenGpKa,False,True,pass,177.16,-1.55,3.0,4.0,6.0,98.07,12.0
mol10080,O=C(O)c1cc(I)ccc1O,20,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Baltruschat_chembl_pka,False,True,pass,264.02,1.7,2.0,2.0,1.0,57.53,11.0
mol10931,CCCC(CCC)(C(=O)O)C(=O)O,20,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,188.22,1.74,2.0,2.0,6.0,74.6,13.0
mol11489,O=C(O)c1cc2ccccc2cc1O,20,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,188.18,2.24,2.0,2.0,1.0,57.53,14.0
mol1392,Oc1cccc2ncccc12,20,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,145.16,1.94,1.0,2.0,0.0,33.12,11.0
mol2,NC(Cc1ccc(O)cc1)C(=O)O,20,QSARtoolbox|OCHEM|Settimo|Baltruschat_chembl_pka,False,True,pass,181.19,0.35,3.0,3.0,3.0,83.55,13.0
mol3737,COc1cccnc1,20,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,109.13,1.09,0.0,2.0,1.0,22.12,8.0
mol47,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,20,Hunt|QSARtoolbox|ibond_AttenGpKa|OCHEM|Settimo|Baltruschat_chembl_pka,False,True,pass,331.35,1.58,2.0,4.0,3.0,74.57,24.0
mol9653,O=[N+]([O-])c1ccc(O)c(O)c1,20,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior,False,True,pass,155.11,1.01,2.0,4.0,1.0,83.6,11.0
mol9674,O=C(NO)c1cccnc1,20,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior,False,True,pass,138.13,0.2,2.0,3.0,1.0,62.22,10.0
mol9817,O=C(O)CNCCNCC(=O)O,20,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,176.17,-1.67,4.0,4.0,7.0,98.66,12.0
mol10045,O=C(O)c1cc(Br)cc(Br)c1O,19,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Baltruschat_chembl_pka,False,True,pass,295.91,2.62,2.0,2.0,1.0,57.53,12.0
mol10930,CC(C)C(C(=O)O)(C(=O)O)C(C)C,19,IUPAC_digitized|OCHEM,False,True,pass,188.22,1.45,2.0,2.0,4.0,74.6,13.0
mol11157,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,19,IUPAC_digitized|QSARtoolbox|ibond_AttenGpKa,False,True,pass,323.2,-2.45,5.0,8.0,4.0,177.36,21.0
mol11625,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,19,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior|Baltruschat_chembl_pka,False,True,pass,226.28,1.18,2.0,3.0,4.0,75.27,16.0
mol12406,O=C(O)C1CCCN1,19,QSARtoolbox|OCHEM|Datawarrior,False,True,pass,115.13,-0.18,2.0,2.0,1.0,49.33,8.0
mol16808,Cc1onc(O)c1CC(N)C(=O)O,19,OCHEM|Baltruschat_chembl_pka,False,True,pass,186.17,-0.36,3.0,5.0,3.0,109.58,13.0
mol1774,O=C(O)C[N+](=O)[O-],19,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior|Baltruschat_chembl_pka,False,True,pass,105.05,-0.65,1.0,3.0,2.0,80.44,7.0
mol1850,Cc1cc(C)nc(N)n1,19,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,123.16,0.68,1.0,3.0,0.0,51.8,9.0
mol2255,CSc1ccc(O)cc1,19,Hunt|QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior,False,True,pass,140.21,2.11,1.0,2.0,1.0,20.23,9.0
mol3156,NCCCNCCCN,19,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior,False,True,pass,131.22,-0.73,3.0,3.0,6.0,64.07,9.0
mol3464,CNCC(O)c1ccc(O)cc1,19,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,167.21,0.65,3.0,3.0,3.0,52.49,12.0
mol3701,CCc1cccnc1,19,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,107.16,1.64,0.0,1.0,1.0,12.89,8.0
mol3787,c1cc(-c2ccncc2)ccn1,19,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OOAs_and_NBs|OCHEM|Datawarrior,False,True,pass,156.19,2.14,0.0,2.0,1.0,25.78,12.0
mol5361,C[C@H](N)C(=O)NCC(=O)O,19,IUPAC_digitized|QSARtoolbox|OCHEM,False,True,pass,146.15,-1.47,3.0,3.0,3.0,92.42,10.0
mol5384,CCCNCC(=O)O,19,QSARtoolbox|ibond_AttenGpKa|IUPAC_digitized|OCHEM|Datawarrior,False,True,pass,117.15,0.07,2.0,2.0,4.0,49.33,8.0
mol6416,O=C(O)c1cccnc1C(=O)O,19,IUPAC_digitized|QSARtoolbox|OCHEM,False,True,pass,167.12,0.48,2.0,3.0,2.0,87.49,12.0
mol9197,O=C(O)CSSCC(=O)O,19,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,182.22,0.54,2.0,4.0,5.0,74.6,10.0
mol9582,CC(CC(=O)O)CC(=O)O,19,IUPAC_digitized|QSARtoolbox|OCHEM|ibond_AttenGpKa,False,True,pass,146.14,0.57,2.0,2.0,4.0,74.6,10.0
